"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"21500","Erie, PA","7.5","4.5","49","12","0.11","0.098","88","37","11",".",".","60","18","."
"21540","Escanaba, MI",".",".",".",".",".",".","30","6","0",".",".",".",".","."
"21660","Eugene, OR","5.6","4.2",".",".","0.08","0.067",".",".",".","55","14.1","79","24","."
"21700","Eureka-Arcata-Fortuna, CA",".",".",".",".",".",".",".",".",".","23","7.9","36","18","."
"21780","Evansville, IN-KY","5.9","3","38","16","0.11","0.097","285","74","11","47","15.4","50","28","."
"21820","Fairbanks, AK","12.6","5.7",".",".",".",".",".",".",".","43","12.9",".",".","."
"21900","Fairmont, WV",".",".",".",".",".",".",".",".",".","40","15.3",".",".","."
"22020","Fargo, ND-MN",".",".","33","6","0.07","0.062","5","2","0","21","7.3","51","18","."
"22140","Farmington, NM",".",".","45","14","0.09","0.076","73","13","3","17","6.9",".",".","."
"22180","Fayetteville, NC","4.3","3.2",".",".","0.11","0.095",".",".",".","36","14.1","44","20","."
"22220","Fayetteville-Springdale-Rogers, AR-MO",".",".",".",".",".",".",".",".",".","26","10.8",".",".","."
"22380","Flagstaff, AZ",".",".",".",".","0.09","0.079",".",".",".",".",".",".",".","."
"22420","Flint, MI",".",".",".",".","0.1","0.089",".",".",".","31","12.5","41","18","."
"22500","Florence, SC",".",".",".",".","0.1","0.09",".",".",".","30","12.2",".",".","."
"22520","Florence-Muscle Shoals, AL",".",".",".",".","0.1","0.084","65","13","2",".",".",".",".","."
"22540","Fond du Lac, WI",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"22660","Fort Collins, CO","5.5","2.9",".",".","0.1","0.087",".",".",".","18","7.7",".",".","."
"22840","Fort Payne, AL",".",".",".",".","0.1","0.085",".",".",".",".",".",".",".","."
"22900","Fort Smith, AR-OK",".",".",".",".",".",".",".",".",".","26","11.7",".",".","."
"23060","Fort Wayne, IN","4.8","3.3",".",".","0.11","0.097",".",".",".","32","14.9","71","26","."
"23180","Frankfort, KY",".",".",".",".",".",".",".",".",".","35","13.8",".",".","."
"23420","Fresno, CA","6","4.3","73","20","0.16","0.119",".",".",".","77","22.9","93","43","."
"23460","Gadsden, AL",".",".",".",".","0.1","0.083",".",".",".",".",".","39","18","."
"23500","Gaffney, SC",".",".",".",".","0.11","0.093",".",".",".",".",".",".",".","."
"23540","Gainesville, FL",".",".",".",".","0.09","0.071",".",".",".","25","9.9",".",".","."
"23580","Gainesville, GA",".",".",".",".",".",".",".",".",".","29","14.6",".",".","."
"23820","Gardnerville Ranchos, NV","13.2","6.1",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"23860","Georgetown, SC",".",".",".",".",".",".","76","9","1",".",".","53","25","."
"23900","Gettysburg, PA","1","0.6",".",".","0.12","0.108",".",".",".","40","12.9",".",".","."
"23940","Gillette, WY",".",".","16","3","0.09","0.071","72","23","5",".",".","211","38","."
"24140","Goldsboro, NC",".",".",".",".",".",".",".",".",".","30","13.3","38","20","."
"24260","Grand Island, NE",".",".",".",".",".",".",".",".",".","25","7.8",".",".","."
"24300","Grand Junction, CO","5.7","3.6",".",".",".",".",".",".",".","18","8.1","91","26","."
"24340","Grand Rapids-Wyoming, MI","4.7","2.8",".","17","0.11","0.093","23","7","2","37","13.6","41","17","."
"24420","Grants Pass, OR","6.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"24500","Great Falls, MT","5.5","2.8",".",".",".",".","101","38","4","18","5.3",".",".","."
"24540","Greeley, CO","6.5","3.4",".",".",".",".",".",".",".","26","9.2","51","21","."
"24580","Green Bay, WI",".",".",".",".","0.1","0.091",".",".",".","32","11.8",".",".","."
"24660","Greensboro-High Point, NC","3.6","2.9",".",".","0.13","0.104",".",".",".","33","13.8","40","18","."
"24780","Greenville, NC",".",".",".",".","0.11","0.091",".",".",".","31","12.4","35","17","."
"24860","Greenville-Anderson-Mauldin, SC","4.2","3.3","62","16","0.11","0.093","29","14","3","32","16.1","49","22","."
"24940","Greenwood, SC",".",".",".",".","0.1","0.088",".",".",".",".",".",".",".","."
"25020","Guayama, PR",".",".",".",".",".",".","40","6","1",".",".","70","27","."
"25060","Gulfport-Biloxi-Pascagoula, MS",".",".",".","3","0.09","0.077","79","22","2","23","11",".",".","."
"25180","Hagerstown-Martinsburg, MD-WV",".",".",".",".","0.11","0.096",".",".",".","43","16.8","55","23","."
"25220","Hammond, LA",".",".",".",".",".",".",".",".",".","22","10.7",".",".","."
"25260","Hanford-Corcoran, CA",".",".","59","14","0.12","0.101",".",".",".","65","21.5","134","55","."
"25420","Harrisburg-Carlisle, PA","3.6","2.3","56","16","0.13","0.098","55","13","4","46","14.7","72","20","."
"25460","Harrison, AR",".",".",".",".","0.09","0.081",".",".",".",".",".",".",".","."
